Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64 GNU/Linux
Sep 02 22:22:07 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 112 @ 2.219283 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 113 @ 2.239187 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 16 @ 2.249200 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 114 @ 2.259089 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 115 @ 2.278991 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 116 @ 2.298895 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 24 @ 2.308903 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 117 @ 2.318797 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 118 @ 2.338701 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 119 @ 2.358604 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 120 @ 2.378507 sec on core 3
